epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,25499.6,1.33194,0.8201,0.90551,0.87623,0.74659,0.80557,0.60387,1.34842,0.79805,0.91545,0.000168874,0.000168874,0.000168874
146,25703.5,1.36598,0.84212,0.90824,0.86657,0.74624,0.8053,0.59743,1.358,0.79497,0.91839,0.000165963,0.000165963,0.000165963
147,25802.3,1.35204,0.84281,0.9025,0.87209,0.75939,0.81471,0.61125,1.33964,0.79156,0.91496,0.000163052,0.000163052,0.000163052
148,25963.8,1.34881,0.83125,0.90397,0.89115,0.75113,0.81704,0.60978,1.35274,0.79482,0.91686,0.000160142,0.000160142,0.000160142
149,26147,1.31759,0.8067,0.90458,0.87632,0.75897,0.81535,0.6088,1.34469,0.79113,0.91587,0.000157231,0.000157231,0.000157231
150,26382.8,1.35791,0.83037,0.90918,0.87618,0.7541,0.81383,0.60705,1.34842,0.79043,0.91584,0.000154321,0.000154321,0.000154321
151,26453.3,1.34589,0.82675,0.90871,0.86501,0.75874,0.8125,0.60992,1.3427,0.79116,0.9154,0.00015141,0.00015141,0.00015141
152,26603.4,1.34926,0.82774,0.90988,0.86391,0.7642,0.8117,0.60554,1.34846,0.79083,0.91649,0.000148499,0.000148499,0.000148499
153,26759.8,1.34606,0.8211,0.90808,0.87075,0.74797,0.81454,0.61577,1.33557,0.78188,0.91283,0.000145589,0.000145589,0.000145589
154,26931.3,1.34592,0.83009,0.90573,0.8677,0.75116,0.81337,0.61103,1.33581,0.78773,0.91346,0.000142678,0.000142678,0.000142678
155,27202,1.32533,0.81403,0.90247,0.86972,0.76318,0.81554,0.60963,1.33586,0.78287,0.91255,0.000139768,0.000139768,0.000139768
156,27334.2,1.33143,0.80937,0.90147,0.87831,0.75687,0.81506,0.61351,1.33291,0.7824,0.9123,0.000136857,0.000136857,0.000136857
157,27511.5,1.32661,0.81375,0.90117,0.89188,0.75098,0.81912,0.6102,1.34266,0.77953,0.91377,0.000133946,0.000133946,0.000133946
158,27750.6,1.35242,0.82415,0.90468,0.87584,0.75704,0.82025,0.62077,1.33016,0.78218,0.91259,0.000131036,0.000131036,0.000131036
159,27890.4,1.35684,0.82636,0.90318,0.87685,0.75426,0.81396,0.60838,1.33801,0.78142,0.91167,0.000128125,0.000128125,0.000128125
160,28134.5,1.31938,0.80786,0.9018,0.87576,0.74995,0.81416,0.6084,1.3388,0.78124,0.91304,0.000125215,0.000125215,0.000125215
161,28352.3,1.34867,0.81888,0.90268,0.86843,0.75364,0.81486,0.61625,1.32904,0.78166,0.91146,0.000122304,0.000122304,0.000122304
162,28560.9,1.35092,0.82785,0.91004,0.87345,0.75132,0.81565,0.61444,1.33699,0.77851,0.91343,0.000119393,0.000119393,0.000119393
163,28799.3,1.30992,0.79269,0.90031,0.85344,0.7753,0.82358,0.61703,1.3325,0.7741,0.91219,0.000116483,0.000116483,0.000116483
164,28974,1.3252,0.80788,0.90026,0.87078,0.76118,0.82096,0.6141,1.33518,0.77741,0.91296,0.000113572,0.000113572,0.000113572
165,29328.8,1.32698,0.81013,0.89998,0.88136,0.75899,0.8243,0.61995,1.33542,0.77723,0.91234,0.000110662,0.000110662,0.000110662
166,29492.9,1.31856,0.8038,0.90122,0.87558,0.75597,0.82114,0.61911,1.33633,0.77955,0.91317,0.000107751,0.000107751,0.000107751
167,29576.1,1.32979,0.80453,0.90414,0.86647,0.76641,0.82354,0.62359,1.32901,0.77936,0.91127,0.00010484,0.00010484,0.00010484
168,29757.3,1.3122,0.79997,0.90164,0.86279,0.77426,0.8254,0.62001,1.33504,0.77561,0.91192,0.00010193,0.00010193,0.00010193
169,29870.5,1.33302,0.81897,0.8998,0.87666,0.76533,0.82476,0.62127,1.32862,0.77221,0.91024,9.90192e-05,9.90192e-05,9.90192e-05
170,30124.9,1.32742,0.8063,0.90031,0.86835,0.77617,0.82386,0.6191,1.33026,0.7749,0.91076,9.61086e-05,9.61086e-05,9.61086e-05
171,30456.4,1.30689,0.79367,0.90124,0.88563,0.76415,0.82119,0.61797,1.33028,0.77317,0.91092,9.3198e-05,9.3198e-05,9.3198e-05
172,30896.1,1.30777,0.79933,0.89829,0.87483,0.7645,0.82061,0.61555,1.33086,0.76905,0.91117,9.02874e-05,9.02874e-05,9.02874e-05
173,31094.6,1.32472,0.80879,0.89591,0.87742,0.76613,0.82285,0.62107,1.32624,0.77343,0.91001,8.73768e-05,8.73768e-05,8.73768e-05
174,31281,1.30792,0.79167,0.90017,0.87459,0.75997,0.81932,0.61953,1.32921,0.77533,0.91129,8.44662e-05,8.44662e-05,8.44662e-05
175,31401.1,1.31119,0.79725,0.89771,0.88367,0.76327,0.82263,0.61809,1.33205,0.76973,0.91035,8.15556e-05,8.15556e-05,8.15556e-05
